"symbol","title","description","url","published_at","source","category","time","diff"
"NVDA","NVIDIA Faces New EU Probe Over AI Chip Market Dominance","Regulators in the European Union have opened a formal investigation into NVIDIA (NVDA) over concerns its dominance in the AI chip market stifles competition.","https://www.bloomberg.com/news/articles/2025-10-28/nvidia-faces-new-eu-probe-ai-chip-dominance","2025-10-28T12:23:00.000000Z","bloomberg.com","general","1761656235828","1"
"CRM","Salesforce Stock Slips as Analyst Downgrades to 'Neutral'","Salesforce (CRM) shares fell 3% after a Morgan Stanley analyst downgraded the stock from 'Buy' to 'Neutral', citing slowing growth in its core cloud products.","https://www.marketwatch.com/story/salesforce-stock-slips-on-morgan-stanley-downgrade-1234567","2025-10-28T12:24:00.000000Z","marketwatch.com","general","1761656235828","1"
"ETHUSD","Ethereum Co-Founder Vitalik Buterin Proposes New Staking Model","Vitalik Buterin published a new paper outlining a 'decentralized staking' model for Ethereum (ETHUSD) aimed at reducing the dominance of large staking pools.","https://www.coindesk.com/tech/2025/10/28/vitalik-buterin-proposes-new-decentralized-staking-model","2025-10-28T12:25:00.000000Z","coindesk.com","general","1761656235828","1"
"PYPL","PayPal Expands Crypto Services to Three New Countries","PayPal (PYPL) announced it is rolling out the ability to buy, hold, and sell cryptocurrencies to users in Spain, Italy, and Portugal.","https://www.reuters.com/business/finance/paypal-expands-crypto-services-spain-italy-portugal-2025-10-28/","2025-10-28T12:26:30.000000Z","reuters.com","general","1761656235828","1"
"AMD","AMD Stock Upgraded to 'Strong Buy' on AI Server Momentum","An analyst at Bank of America upgraded AMD (AMD) to 'Strong Buy', citing strong pre-orders for its upcoming MI400-series AI accelerators.","https://seekingalpha.com/article/4833999-amd-stock-upgraded-strong-buy-ai-momentum","2025-10-28T12:27:00.000000Z","seekingalpha.com","general","1761656235828","1"
"GOOGL","Google Delays Phasing Out Third-Party Cookies Again","Google (GOOGL) announced another delay to its plan to phase out third-party cookies in Chrome, pushing the timeline to late 2026 amid regulatory pressure.","https://techcrunch.com/2025/10/28/google-delays-cookie-deprecation-again-2026","2025-10-28T12:28:00.000000Z","techcrunch.com","general","1761656295828","1"
"MSFT","Microsoft Partners with Japanese Government on Sovereign AI Cloud","Microsoft (MSFT) will build a dedicated, in-country cloud infrastructure for the Japanese government to securely run sensitive AI workloads.","https://www.bloomberg.com/news/articles/2025-10-28/microsoft-japan-government-sovereign-ai-cloud","2025-10-28T12:29:00.000000Z","bloomberg.com","general","1761656295828","1"
"SPY","US Weekly Jobless Claims Rise Unexpectedly","The number of Americans filing new claims for unemployment benefits rose to 230,000 last week, higher than the 215,000 forecast, signaling a cooling labor market.","https://www.cnbc.com/2025/10/28/us-weekly-jobless-claims-october-25-2025.html","2025-10-28T12:30:30.000000Z","cnbc.com","general","1761656295828","1"
"ORCL","Oracle Q2 Earnings Miss Estimates, Cloud Growth Slows","Oracle (ORCL) shares tumbled 9% in extended trading after reporting fiscal Q2 earnings that missed analyst expectations, citing a slowdown in its cloud infrastructure (OCI) growth.","https://www.reuters.com/technology/oracle-q2-earnings-miss-estimates-cloud-growth-slows-2025-10-28/","2025-10-28T12:31:00.000000Z","reuters.com","general","1761656295828","1"
"TSLA","Tesla Cybertruck Deliveries Halted Over Windshield Wiper Issue","Tesla (TSLA) has reportedly paused deliveries of its Cybertruck to address a newly discovered flaw with its massive windshield wiper motor.","https://www.wsj.com/articles/tesla-cybertruck-deliveries-halted-wiper-issue","2025-10-28T12:32:00.000000Z","wsj.com","general","1761656295828","1"
"AAPL","Apple Vision Pro 2 Rumored to be Lighter, Cheaper","A new report from a reliable supply chain analyst claims Apple (AAPL) is targeting a 20% weight reduction and a sub-$2,500 price point for its second-generation Vision Pro.","https://www.theverge.com/2025/10/28/apple-vision-pro-2-rumors-lighter-cheaper","2025-10-28T12:33:00.000000Z","theverge.com","general","1761656355828","1"
"BTCUSD","US Senator Introduces Bill to Ban Self-Custody Crypto Wallets","A new bill proposed in the US Senate aims to ban self-custody digital wallets, citing concerns over money laundering and national security. Bitcoin (BTCUSD) dropped 5% on the news.","https://www.coindesk.com/policy/2025/10/28/us-senator-bill-ban-self-custody-crypto-wallets","2025-10-28T12:34:00.000000Z","coindesk.com","general","1761656355828","1"
"AMZN","Amazon's AWS Announces New 'Titan 2' AI Chip","Amazon (AMZN) unveiled its next-generation custom AI chip, 'Titan 2', designed to train large language models more efficiently than its predecessor.","https://techcrunch.com/2025/10/28/amazon-aws-titan-2-ai-chip","2025-10-28T12:35:00.000000Z","techcrunch.com","general","1761656355828","1"
"CSCO","Cisco Systems to Acquire Cybersecurity Firm for $2.5B","Cisco (CSCO) announced its intent to acquire cloud security firm 'CyberShield' for $2.5 billion, bolstering its Secure Access Service Edge (SASE) offerings.","https://www.reuters.com/technology/cisco-to-acquire-cybershield-for-2-5-billion-2025-10-28/","2025-10-28T12:36:30.000000Z","reuters.com","general","1761656355828","1"
"NFLX","Netflix Signs Exclusive Deal with Major Sports League","Netflix (NFLX) has secured its first major live sports package, signing an exclusive 5-year deal to stream NBA Tuesday night games, sources tell CNBC.","https://www.cnbc.com/2025/10/28/netflix-nba-live-sports-streaming-deal.html","2025-10-28T12:37:00.000000Z","cnbc.com","general","1761656355828","1"
"GOOGL","Google Considers Charging for AI-Powered Search Features","A report from Bloomberg suggests Google (GOOGL) is actively exploring plans to put its most advanced generative AI search features behind a subscription paywall.","https://www.bloomberg.com/news/articles/2025-10-28/google-considers-charging-for-ai-search-features","2025-10-28T12:38:00.000000Z","bloomberg.com","general","1761656415828","1"
"SPY","Fed Chair Powell Signals Rates Will Stay 'Higher for Longer'","In a speech, Fed Chair Jerome Powell dashed hopes for an imminent rate cut, stating that the committee needs to see more definitive proof of cooling inflation. Markets (SPY) reacted negatively.","https://www.wsj.com/articles/fed-powell-speech-rates-higher-for-longer","2025-10-28T12:39:00.000000Z","wsj.com","general","1761656415828","1"
"META","Meta to Disband its Responsible AI (RAI) Team","Meta (META) is dissolving its central Responsible AI team, opting to embed ethics researchers directly into its product teams, a move that has drawn criticism.","https://www.theverge.com/2025/10/28/meta-disbands-responsible-ai-rai-team","2025-10-28T12:40:00.000000Z","theverge.com","general","1761656415828","1"
"SOLUSD","Solana Network Suffers Major Outage, Price Plummets 15%","The Solana (SOLUSD) blockchain is currently halted, with engineers investigating a network-wide consensus failure. The price of SOL has fallen sharply in response.","https://www.coindesk.com/tech/2025/10/28/solana-network-outage-consensus-failure","2025-10-28T12:41:30.000000Z","coindesk.com","general","1761656415828","1"
"TSLA","Fisker Files for Bankruptcy, Tesla Stock Rises on Reduced Competition","EV startup Fisker (FSRN) has officially filed for Chapter 11 bankruptcy. Shares of rival Tesla (TSLA) rose 2% on the news.","https://www.reuters.com/business/autos-transportation/ev-startup-fisker-files-for-bankruptcy-2025-10-28/","2025-10-28T12:42:00.000000Z","reuters.com","general","1761656415828","1"
"INTC","Intel's New 'Lunar Lake' Chips Show Promise in Early Benchmarks","Early, unverified benchmarks for Intel's (INTC) upcoming 'Lunar Lake' mobile processors show significant gains in power efficiency and AI performance over competitors.","https://techcrunch.com/2025/10/28/intel-lunar-lake-benchmarks-leaked","2025-10-28T12:43:00.000000Z","techcrunch.com","general","1761656475828","1"
"MSFT","Microsoft's GitHub Co-pilot Accused of Widespread License Violation","A new class-action lawsuit alleges that GitHub Co-pilot (MSFT) launders open-source code, violating a wide range of software licenses.","https://www.wsj.com/articles/github-copilot-lawsuit-license-violation","2025-10-28T12:44:00.000000Z","wsj.com","general","1761656475828","1"
"NVDA","NVIDIA Partners with Broadcom on Next-Gen AI Infrastructure","NVIDIA (NVDA) and Broadcom (AVGO) announced a strategic partnership to co-develop new networking hardware optimized for massive-scale AI clusters.","https://www.bloomberg.com/news/articles/2025-10-28/nvidia-broadcom-partnership-ai-networking","2025-10-28T12:45:00.000000Z","bloomberg.com","general","1761656475828","1"
"PYPL","PayPal User Growth Stagnates, Stock Dips 4%","PayPal (PYPL) reported flat quarter-over-quarter user growth in its Q3 earnings, causing a 4% dip in its stock as investors worry about competition from Apple Pay.","https://www.cnbc.com/2025/10/28/paypal-q3-earnings-user-growth-stagnates.html","2025-10-28T12:46:30.000000Z","cnbc.com","general","1761656475828","1"
"AMD","AMD Unveils New Ryzen 9000 Desktop Processors","AMD (AMD) kicked off its keynote by announcing the new Ryzen 9000 series desktop CPUs, built on its next-gen 'Zen 5' architecture, promising 'unmatched' gaming performance.","https://www.theverge.com/2025/10/28/amd-ryzen-9000-desktop-cpu-zen-5","2025-10-28T12:47:00.000000Z","theverge.com","general","1761656475828","1"
"AMZN","Amazon to Invest $5B in UK Warehouse Automation","Amazon (AMZN) announced a 5-year, £5 billion investment to deploy advanced robotics and automation across its UK fulfillment centers.","https://www.reuters.com/business/retail-consumer/amazon-invests-5b-uk-warehouse-automation-2025-10-28/","2025-10-28T12:48:00.000000Z","reuters.com","general","1761656535828","1"
"AAPL","Apple Wins Appeal in App Store Antitrust Case","A federal appeals court has overturned a key ruling in an antitrust case against Apple (AAPL), affirming its right to control payments within its App Store.","https://www.cnbc.com/2025/10/28/apple-wins-appeal-app-store-antitrust-case.html","2025-10-28T12:49:00.000000Z","cnbc.com","general","1761656535828","1"
"BTCUSD","BlackRock CEO Larry Fink: 'Tokenization is the Next Generation for Markets'","In an interview, BlackRock (BLK) CEO Larry Fink reiterated his bullish stance on digital assets, calling the tokenization of real-world assets a major financial evolution.","https://www.bloomberg.com/news/articles/2025-10-28/larry-fink-tokenization-next-generation-markets","2025-10-28T12:50:00.000000Z","bloomberg.com","general","1761656535828","1"
"GOOGL","Google to Shut Down 'Google Podcasts' App","Google (GOOGL) announced it is sunsetting its standalone 'Google Podcasts' app, migrating users and features over to YouTube Music.","https://techcrunch.com/2025/10/28/google-shutting-down-podcasts-app","2025-10-28T12:51:30.000000Z","techcrunch.com","general","1761656535828","1"
"SPY","US Manufacturing PMI Shows Unexpected Contraction","The S&P Global Manufacturing PMI for October fell to 49.5, below the 50.0 threshold, indicating a contraction in the sector and raising recession fears.","https://www.reuters.com/markets/us/us-manufacturing-pmi-contracts-october-2025-10-28/","2025-10-28T12:52:00.000000Z","reuters.com","general","1761656535828","1"
"META","Meta's AI Image Generator Under Fire for Political Bias","Researchers claim Meta's (META) new generative AI tool shows significant political bias, creating stereotypical or negative images based on certain prompts.","https://www.wsj.com/articles/meta-ai-image-generator-political-bias","2025-10-28T12:53:00.000000Z","wsj.com","general","1761656595828","1"
"TSLA","Tesla Secures Lithium Supply Deal with Australian Miner","Tesla (TSLA) has signed a 5-year agreement with Australian miner Pilbara Minerals (PLS) to secure a long-term supply of spodumene concentrate for its battery production.","https://www.bloomberg.com/news/articles/2025-10-28/tesla-secures-lithium-supply-deal-pilbara-minerals","2025-10-28T12:54:00.000000Z","bloomberg.com","general","1761656595828","1"
"ETHUSD","SEC Delays Decision on Grayscale Ethereum Trust Conversion","The SEC has once again postponed its decision on Grayscale's application to convert its Ethereum Trust (ETHE) into a spot ETF, pushing the deadline to January 2026.","https://www.coindesk.com/policy/2025/10/28/sec-delays-decision-grayscale-ethereum-etf-conversion","2025-10-28T12:55:00.000000Z","coindesk.com","general","1761656595828","1"
"NFLX","Netflix Raises Prices for Standard and Premium Plans","Netflix (NFLX) is increasing the price of its Standard plan by $2 and its Premium plan by $3 per month in the US, its second price hike in 18 months.","https://www.theverge.com/2025/10/28/netflix-price-hike-standard-premium-plans-2025","2025-10-28T12:56:30.000000Z","theverge.com","general","1761656595828","1"
"MSFT","Microsoft's Activision Blizzard Deal Clears Final Hurdle in UK","The UK's Competition and Markets Authority (CMA) has given final, unconditional approval for Microsoft's (MSFT) acquisition of Activision Blizzard.","https://www.cnbc.com/2025/10/28/microsoft-activision-blizzard-deal-cma-final-approval.html","2025-10-28T12:57:00.000000Z","cnbc.com","general","1761656595828","1"
"NVDA","NVIDIA (NVDA) Earnings Preview: AI Demand in Focus","All eyes are on NVIDIA's (NVDA) Q3 earnings report tomorrow, with Wall Street expecting another record-breaking quarter driven by H100 GPU sales.","https://seekingalpha.com/article/4834010-nvidia-nvda-q3-earnings-preview-ai-demand","2025-10-28T12:58:00.000000Z","seekingalpha.com","general","1761656655828","1"
"ADBE","Adobe Shares Fall as DOJ Reportedly Prepares Antitrust Suit","Adobe (ADBE) stock dropped 6% following a report that the Department of Justice is preparing to file an antitrust lawsuit to block its $20B acquisition of Figma.","https://www.bloomberg.com/news/articles/2025-10-28/adobe-doj-antitrust-suit-figma-acquisition","2025-10-28T12:59:00.000000Z","bloomberg.com","general","1761656655828","1"
"GOOGL","Google's Waymo Self-Driving Taxis Launch in Atlanta","Alphabet's (GOOGL) self-driving unit, Waymo, has officially launched its fully autonomous ride-hailing service to the public in Atlanta, Georgia.","https://techcrunch.com/2025/10/28/waymo-self-driving-taxi-launch-atlanta","2025-10-28T13:00:00.000000Z","techcrunch.com","general","1761656655828","1"
"INTC","Intel CEO Pat Gelsinger: 'The AI PC Is the Next Big Thing'","In an interview, Intel (INTC) CEO Pat Gelsinger claimed that PCs with built-in neural processing units (NPUs) will represent the most significant PC market shift in decades.","https://www.fortune.com/2025/10/28/intel-ceo-pat-gelsinger-ai-pc-next-big-thing/","2025-10-28T13:01:30.000000Z","fortune.com","general","1761656655828","1"
"SPY","Consumer Confidence Index Tumbles to 9-Month Low","The Conference Board's Consumer Confidence Index fell sharply in October, as persistent inflation and high interest rates weigh on household sentiment.","https://www.reuters.com/markets/us/us-consumer-confidence-tumbles-october-2025-10-28/","2025-10-28T13:02:00.000000Z","reuters.com","general","1761656655828","1"
"AAPL","Apple Scaling Back EV Project 'Titan', Report Says","Sources claim Apple (AAPL) is significantly scaling back its ambitious self-driving electric car project, now targeting a later 2030 release with less advanced features.","https://www.bloomberg.com/news/articles/2025-10-28/apple-scales-back-ev-project-titan-2030-release","2025-10-28T13:03:00.000000Z","bloomberg.com","general","1761656715828","1"
"AMZN","Amazon Announces 'Prime Health' Subscription Service","Amazon (AMZN) is bundling its pharmacy (RxPass), One Medical, and new virtual health services into a single 'Prime Health' subscription for $19.99/month.","https://www.cnbc.com/2025/10/28/amazon-prime-health-subscription-one-medical-rxpass.html","2025-10-28T13:04:00.000000Z","cnbc.com","general","1761656715828","1"
"BTCUSD","Hackers Steal $80M from DeFi Protocol 'FinanceFlow'","The decentralized finance (DeFi) lending protocol 'FinanceFlow' has been exploited, with attackers draining approximately $80 million in various crypto assets.","https://www.coindesk.com/tech/2025/10/28/defi-protocol-financeflow-hacked-80-million","2025-10-28T13:05:00.000000Z","coindesk.com","general","1761656715828","1"
"CSCO","Cisco Stock Downgraded at JPMorgan on Networking Slowdown","JPMorgan downgraded Cisco (CSCO) from 'Overweight' to 'Neutral', warning of a cyclical slowdown in enterprise networking spend as companies digest prior purchases.","https://www.marketwatch.com/story/cisco-stock-downgraded-jpmorgan-networking-slowdown-3456789","2025-10-28T13:06:30.000000Z","marketwatch.com","general","1761656715828","1"
"AMD","AMD and Intel Battle for AI PC Market Share at CES 2026","Both AMD (AMD) and Intel (INTC) are expected to showcase their next-generation mobile processors with advanced AI capabilities at the upcoming CES trade show.","https://www.eetimes.com/amd-intel-battle-ai-pc-market-ces-2026/","2025-10-28T13:07:00.000000Z","eetimes.com","general","1761656715828","1"
"TSLA","NHTSA Opens Investigation into Tesla Autopilot Crashes","The National Highway Traffic Safety Administration (NHTSA) has opened a new formal investigation into Tesla's (TSLA) Autopilot system after a series of recent crashes.","https://www.reuters.com/business/autos-transportation/nhtsa-opens-new-probe-tesla-autopilot-crashes-2025-10-28/","2images/plot.png","2025-10-28T13:08:00.000000Z","reuters.com","general","1761656775828","1"
"GOOGL","Google's DeepMind Unveils 'Gemini 2.0' AI Model","Google's (GOOGL) DeepMind division has unveiled Gemini 2.0, its new flagship AI model, claiming it outperforms OpenAI's GPT-4o on several key benchmarks.","https://www.theverge.com/2025/10/28/google-deepmind-gemini-2-ai-model","2025-10-28T13:09:00.000000Z","theverge.com","general","1761656775828","1"
"SPY","Stock Market Today: S&P 500 Rises as Fed Rate Hike Fears Ease","The S&P 500 (SPY) climbed 0.8% as weaker-than-expected jobs data eased investor fears that the Federal Reserve would pursue another interest rate hike.","https://www.wsj.com/articles/stock-market-today-sp500-fed-rate-hike-fears-2025-10-28","2025-10-28T13:10:00.000000Z","wsj.com","general","1761656775828","1"
"META","Meta to Allow Third-Party App Stores on Quest VR Headsets","In a major strategy shift, Meta (META) announced it will open up its Quest platform, allowing users to install third-party app stores and sideload applications.","https://techcrunch.com/2025/10/28/meta-quest-third-party-app-stores-sideloading","2025-10-28T13:11:30.000000Z","techcrunch.com","general","1761656775828","1"
"NFLX","Netflix's Ad-Supported Tier Reaches 50 Million Users","Netflix (NFLX) revealed its ad-supported subscription tier has grown to 50 million monthly active users, marking a major milestone for its advertising business.","https://www.cnbc.com/2025/10/28/netflix-ad-supported-tier-50-million-users.html","2025-10-28T13:12:00.000000Z","cnbc.com","general","1761656775828","1"
"NVDA","NVIDIA Q3 Earnings: A Massive Beat, Stock Soars 10%","NVIDIA (NVDA) reported Q3 revenue and EPS that shattered analyst expectations, with data center revenue up 350% year-over-year. The stock surged 10% in after-hours trading.","https://www.bloomberg.com/news/articles/2025-10-28/nvidia-q3-earnings-report-2025-revenue-beat","2025-10-28T13:13:00.000000Z","bloomberg.com","general","1761656835828","1"
"MSFT","Microsoft Azure Announces New Generative AI Tools for Developers","At its Ignite conference, Microsoft (MSFT) launched a new suite of generative AI tools for Azure, designed to help developers build and deploy AI agents.","https://www.reuters.com/technology/microsoft-azure-generative-ai-tools-ignite-2025-10-28/","2025-10-28T13:14:00.000000Z","reuters.com","general","1761656835828","1"
"BTCUSD","US Treasury Sanctions Crypto Mixer 'Tornado Cash' Again","The U.S. Treasury Department has issued new sanctions against cryptocurrency mixer Tornado Cash, citing its use by North Korean hacking groups.","https://www.coindesk.com/policy/2025/10/28/us-treasury-sanctions-tornado-cash-again","2025-10-28T13:15:00.000000Z","coindesk.com","general","1761656835828","1"
"ORCL","Oracle and Palantir (PLTR) Announce AI Cloud Partnership","Oracle (ORCL) and Palantir (PLTR) announced a partnership to make Palantir's AI platforms available on Oracle's Cloud Infrastructure (OCI).","https://www.wsj.com/articles/oracle-palantir-ai-cloud-partnership","2025-10-28T13:16:30.000000Z","wsj.com","general","1761656835828","1"
"AAPL","Apple Faces $2B Fine in EU Music Streaming Antitrust Case","The European Commission is reportedly set to fine Apple (AAPL) €2 billion for anticompetitive practices related to its music streaming rules in the App Store.","https://www.bloomberg.com/news/articles/2025-10-28/apple-faces-2b-fine-eu-music-streaming-antitrust","2025-10-28T13:17:00.000000Z","bloomberg.com","general","1761656835828","1"
"GOOGL","Google Photos Gets New AI-Powered 'Magic Editor' Features","Google (GOOGL) is rolling out an update to Google Photos that adds more advanced AI editing features, including 'Magic Eraser' for video and 'Style Transfer'.","https://www.theverge.com/2025/10/28/google-photos-ai-magic-editor-video-features","2025-10-28T13:18:00.000000Z","theverge.com","general","1761656895828","1"
"AMZN","Amazon's Project Kuiper Launches First Two Prototype Satellites","Amazon's (AMZN) satellite internet initiative, Project Kuiper, successfully launched and established contact with its first two prototype satellites, KuiperSat-1 and KuiperSat-2.","https://techcrunch.com/2025/10/28/amazon-project-kuiper-launches-first-satellites","2025-10-28T13:19:00.000000Z","techcrunch.com","general","1761656895828","1"
"TSLA","BYD Overtakes Tesla as World's Top-Selling EV Maker","Chinese automaker BYD sold more electric vehicles than Tesla (TSLA) in the third quarter, making it the new global leader in EV sales.","https://www.cnbc.com/2025/10/28/byd-overtakes-tesla-as-top-selling-ev-maker-q3-2025.html","2025-10-28T13:20:00.000000Z","cnbc.com","general","1761656895828","1"
"ETHUSD","Fidelity Files for Spot Ethereum ETF with SEC","Asset management giant Fidelity has joined the race for a spot Ethereum (ETHUSD) ETF, submitting its 19b-4 filing with the U.S. Securities and Exchange Commission.","https://www.coindesk.com/policy/2025/10/28/fidelity-files-for-spot-ethereum-etf-sec","2025-10-28T13:21:30.000000Z","coindesk.com","general","1761656895828","1"
"SPY","Retail Sales Data Misses Expectations, Showing Consumer Strain","October retail sales rose only 0.1% month-over-month, far below the 0.4% expected, indicating that US consumer spending is weakening.","https://www.reuters.com/markets/us/us-retail-sales-miss-expectations-october-2025-10-28/","2025-10-28T13:22:00.000000Z","reuters.com","general","1761656895828","1"
"MSFT","Microsoft to Invest $3B in German AI Data Centers","Microsoft (MSFT) announced a €3 billion investment over the next two years to build new AI and cloud data centers in Germany.","https://www.bloomberg.com/news/articles/2025-10-28/microsoft-to-invest-3b-in-german-ai-data-centers","2025-10-28T13:23:00.000000Z","bloomberg.com","general","1761656955828","1"
"AMD","AMD Stock Dips as PC Market Outlook Softens","AMD (AMD) shares fell 5% after its Q3 report, as a weak forecast for the personal computing market overshadowed strong data center sales.","https://www.reuters.com/technology/amd-q3-earnings-data-center-strong-pc-outlook-weak-2025-10-28/","2025-10-28T13:24:00.000000Z","reuters.com","general","1761656955828","1"
"NFLX","Netflix to Open Physical 'Netflix House' Retail Locations","Netflix (NFLX) is launching permanent, experiential retail locations called 'Netflix House' that will feature themed restaurants, merchandise, and interactive exhibits.","https://www.cnbc.com/2025/10/28/netflix-house-permanent-retail-locations.html","2025-10-28T13:25:00.000000Z","cnbc.com","general","1761656955828","1"
"INTC","Intel's Foundry Services Lands 'Major US Customer'","Intel (INTC) announced its foundry business has signed a significant deal with an unnamed 'major US customer' to use its 18A process technology.","https://www.wsj.com/articles/intel-foundry-services-lands-major-us-customer-18a","2025-10-28T13:26:30.000000Z","wsj.com","general","1761656955828","1"
"ADBE","Adobe Adds AI-Powered Music Generation to Audition","Adobe (ADBE) is integrating new generative AI features into its Audition software, allowing users to create royalty-free background music from text prompts.","https://techcrunch.com/2025/10/28/adobe-audition-ai-music-generation","2025-10-28T13:27:00.000000Z","techcrunch.com","general","1761656955828","1"
"AAPL","Apple Watch Series 10 to Feature Blood Pressure Monitoring","Reports indicate the upcoming Apple Watch Series 10 (AAPL) will include a new sensor capable of monitoring the user's blood pressure for the first time.","https://www.theverge.com/2025/10/28/apple-watch-series-10-blood-pressure-sensor-rumor","2025-10-28T13:28:00.000000Z","theverge.com","general","1761657015828","1"
"GOOGL","Google Bard Renamed to 'Gemini', Launches Paid Tier","Google (GOOGL) has officially rebranded its AI chatbot from Bard to 'Gemini' and launched 'Gemini Advanced', a paid subscription tier powered by its Ultra model.","https://www.cnbc.com/2025/10/28/google-bard-renamed-gemini-advanced-paid-tier.html","2025-10-28T13:29:00.000000Z","cnbc.com","general","1761657015828","1"
"BTCUSD","Hong Kong Approves First Batch of Spot Bitcoin ETFs","Regulators in Hong Kong have given the green light to the first group of spot Bitcoin (BTCUSD) ETFs, set to begin trading next month.","https://www.coindesk.com/policy/2025/10/28/hong-kong-approves-first-spot-bitcoin-etfs","2025-10-28T13:30:00.000000Z","coindesk.com","general","1761657015828","1"
"TSLA","Tesla's Full Self-Driving (FSD) v13 Released to Employees","Tesla (TSLA) has begun internally rolling out FSD Beta v13, which CEO Elon Musk claims is a 'quantum leap' in autonomy, based on a new end-to-end AI model.","https://www.reuters.com/business/autos-transportation/tesla-fsd-v13-rollout-employees-2025-10-28/","2025-10-28T13:31:30.000000Z","reuters.com","general","1761657015828","1"
"SPY","Fed Holds Interest Rates Steady, Signals One More Hike Possible","The Federal Reserve concluded its meeting by holding interest rates steady but updated its 'dot plot' to signal the possibility of one more 25-basis-point hike before year-end.","https://www.bloomberg.com/news/articles/2025-10-28/fed-holds-rates-steady-fomc-decision-october-2025","2025-10-28T13:32:00.000000Z","bloomberg.com","general","1761657015828","1"
"AMZN","Amazon to Lay Off 500 Employees in its Alexa Division","Amazon (AMZN) is cutting several hundred jobs from its Alexa division as it refocuses resources on generative AI and large language models.","https://www.cnbc.com/2025/10/28/amazon-layoffs-alexa-division-generative-ai.html","2025-10-28T13:33:00.000000Z","cnbc.com","general","1761657075828","1"
"META","Meta Sued by 40 States Over Youth Mental Health Harms","A bipartisan coalition of 40 attorneys general is suing Meta (META), alleging that Instagram and Facebook were designed to be addictive and harmful to children's mental health.","https://www.wsj.com/articles/meta-sued-by-40-states-youth-mental-health-instagram","2025-10-28T13:34:00.000000Z","wsj.com","general","1761657075828","1"
